#{"t_start": 1772527307.1233706, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.115196
7.0,80,0.226599
12.0,140,0.398735
6.0,70,0.483835
7.0,84,0.585879
1.0,16,0.60535
2.0,26,0.636927
1.0,16,0.656375
4.0,48,0.714573
7.0,80,0.811709
17.0,188,1.039307
5.0,58,1.10945
6.0,72,1.196543
10.0,116,1.336814
1.0,16,1.3562
1.0,16,1.37561
10.0,116,1.515826
9.0,104,1.641505
7.0,84,1.743159
5.0,60,1.81567
2.0,26,1.84717
12.0,140,2.0164
12.0,142,2.188018
5.0,58,2.258132
9.0,102,2.381419
2.0,26,2.412938
3.0,38,2.458937
11.0,130,5.664325
5.0,60,5.747696
3.0,38,5.800294
6.0,70,5.897102
4.0,48,5.963553
11.0,126,6.119117
5.0,60,6.191947
1.0,16,6.211437
12.0,142,6.38386
12.0,138,6.551511
10.0,116,6.692372
4.0,48,6.750744
15.0,174,6.961921
9.0,104,7.088196
5.0,60,7.16111
15.0,166,7.368777
2.0,26,7.400855
12.0,140,7.571316
9.0,102,7.695632
7.0,82,7.795626
6.0,74,7.885902
8.0,92,7.999433
1.0,16,8.019053
9.0,102,11.397398
3.0,38,11.456522
11.0,128,11.622927
5.0,58,11.693494
3.0,38,11.74253
3.0,38,11.788897
7.0,82,11.890235
15.0,166,12.092606
12.0,136,12.258409
5.0,58,12.329183
3.0,38,12.375612
15.0,166,12.578073
9.0,104,12.705192
6.0,70,12.790715
2.0,26,12.822627
7.0,82,12.922841
6.0,72,13.011079
12.0,140,13.182044
8.0,90,13.291825
7.0,80,13.389484
1.0,16,13.409075
7.0,80,13.506572
9.0,104,13.633279
4.0,48,13.691849
7.0,80,13.789376
5.0,58,13.860104
