#{"t_start": 1772181013.5043182, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.115783
7.0,80,0.22111
12.0,140,0.390105
6.0,70,0.47476
7.0,84,0.576212
1.0,16,0.595585
2.0,26,0.627057
1.0,16,0.646454
4.0,48,0.704503
7.0,80,0.801215
17.0,188,1.028116
5.0,58,1.098148
6.0,72,1.185121
10.0,116,1.325152
1.0,16,1.344535
1.0,16,1.363905
10.0,116,1.503874
9.0,104,1.629316
7.0,84,1.730738
5.0,60,1.803156
2.0,26,1.834569
12.0,140,2.003506
12.0,142,2.174999
5.0,58,2.245117
9.0,102,2.368289
2.0,26,2.399773
3.0,38,2.445704
11.0,130,5.302455
5.0,60,5.375476
3.0,38,5.421685
6.0,70,5.506574
4.0,48,5.564757
11.0,126,5.717339
5.0,60,5.789967
1.0,16,5.809433
12.0,142,5.982625
12.0,138,6.150107
10.0,116,6.290911
4.0,48,6.349157
15.0,174,6.560072
9.0,104,6.687815
5.0,60,6.760763
15.0,166,6.968518
2.0,26,7.000245
12.0,140,7.170298
9.0,102,7.294328
7.0,82,7.393998
6.0,74,7.484353
8.0,92,7.596052
1.0,16,7.61555
9.0,102,10.392267
3.0,38,10.438518
11.0,128,10.593775
5.0,58,10.665545
3.0,38,10.711678
3.0,38,10.757802
7.0,82,10.85715
15.0,166,11.058401
12.0,136,11.223191
5.0,58,11.293519
3.0,38,11.339555
15.0,166,11.540539
9.0,104,11.667657
6.0,70,11.752617
2.0,26,11.784269
7.0,82,11.883932
6.0,72,11.971424
12.0,140,12.141262
8.0,90,12.250583
7.0,80,12.347683
1.0,16,12.367219
7.0,80,12.464408
9.0,104,12.590599
4.0,48,12.648931
7.0,80,12.746033
5.0,58,12.816449
