#{"t_start": 1772187231.8048239, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.997884
19.0,154,3.109748
5.0,60,3.152127
9.0,106,3.22732
7.0,80,3.283658
9.0,102,3.355358
6.0,74,3.40748
5.0,60,3.449726
11.0,130,3.541167
2.0,26,3.55955
8.0,92,3.624388
9.0,102,3.696194
19.0,154,3.804739
6.0,70,3.854043
11.0,126,3.942695
10.0,116,4.024869
6.0,72,4.075864
19.0,154,4.184981
11.0,126,4.274141
11.0,130,6.389508
9.0,104,6.469599
10.0,118,6.554858
9.0,102,6.627004
11.0,130,6.71881
19.0,154,6.827921
8.0,92,6.892882
6.0,70,6.942327
6.0,72,6.993253
20.0,164,7.109161
3.0,38,7.13609
11.0,130,7.228962
11.0,130,7.320671
8.0,96,7.38867
15.0,118,7.47238
11.0,126,7.561524
12.0,140,7.660519
11.0,130,7.75294
10.0,116,7.835235
20.0,164,9.933672
11.0,130,10.026113
9.0,102,10.098395
11.0,130,10.190367
12.0,140,10.290798
9.0,106,10.395081
0.0,6,10.40013
11.0,130,10.495002
20.0,164,10.611031
9.0,104,10.68453
3.0,38,10.71145
7.0,82,10.769511
20.0,164,10.885413
6.0,70,10.934882
1.0,16,10.946292
20.0,164,11.062795
5.0,62,11.10701
3.0,38,11.134041
8.0,90,11.198414
10.0,116,11.280846
