#{"t_start": 1772199706.4573865, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.528808
19.0,154,3.636647
5.0,60,3.679162
9.0,106,3.753266
7.0,80,3.809222
9.0,102,3.880377
6.0,74,3.932162
5.0,60,3.974626
11.0,130,4.065012
2.0,26,4.083162
8.0,92,4.147202
9.0,102,4.218218
19.0,154,4.325264
6.0,70,4.374593
11.0,126,4.462186
10.0,116,4.546533
6.0,72,4.596786
19.0,154,4.703809
11.0,126,4.791323
11.0,130,6.946166
9.0,104,7.038433
10.0,118,7.123748
9.0,102,7.196825
11.0,130,7.288839
19.0,154,7.397815
8.0,92,7.463145
6.0,70,7.512797
6.0,72,7.563973
20.0,164,7.68024
3.0,38,7.707761
11.0,130,7.800476
11.0,130,7.892552
8.0,96,7.960725
15.0,118,8.044452
11.0,126,8.133647
12.0,140,8.233042
11.0,130,8.325396
10.0,116,8.408686
20.0,164,10.487888
11.0,130,10.580814
9.0,102,10.653554
11.0,130,10.745103
12.0,140,10.843678
9.0,106,10.918388
0.0,6,10.922702
11.0,130,11.014295
20.0,164,11.148107
9.0,104,11.221883
3.0,38,11.248769
7.0,82,11.306788
20.0,164,11.422496
6.0,70,11.472614
1.0,16,11.484067
20.0,164,11.600361
5.0,62,11.64449
3.0,38,11.67149
8.0,90,11.73543
10.0,116,11.817728
