#{"t_start": 1772181000.273328, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.176937
19.0,154,2.277859
5.0,60,2.317042
9.0,106,2.388854
7.0,80,2.441525
9.0,102,2.508119
6.0,74,2.556445
5.0,60,2.596089
11.0,130,2.680449
2.0,26,2.697404
8.0,92,2.757872
9.0,102,2.824281
19.0,154,2.924194
6.0,70,2.969599
11.0,126,3.051551
10.0,116,3.126764
6.0,72,3.173508
19.0,154,3.273467
11.0,126,3.355171
11.0,130,5.365387
9.0,104,5.43753
10.0,118,5.516198
9.0,102,5.58275
11.0,130,5.667508
19.0,154,5.768749
8.0,92,5.828832
6.0,70,5.874521
6.0,72,5.921528
20.0,164,6.028722
3.0,38,6.053572
11.0,130,6.138245
11.0,130,6.23183
8.0,96,6.295695
15.0,118,6.37269
11.0,126,6.454848
12.0,140,6.546202
11.0,130,6.63131
10.0,116,6.707315
20.0,164,8.731025
11.0,130,8.815817
9.0,102,8.882338
11.0,130,8.967067
12.0,140,9.058405
9.0,106,9.127518
0.0,6,9.131505
11.0,130,9.216214
20.0,164,9.32306
9.0,104,9.39085
3.0,38,9.415721
7.0,82,9.469197
20.0,164,9.576077
6.0,70,9.621716
1.0,16,9.632257
20.0,164,9.73957
5.0,62,9.780219
3.0,38,9.805151
8.0,90,9.864053
10.0,116,9.940042
