#{"t_start": 1772527295.5576043, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.783774
19.0,154,1.886115
5.0,60,1.925805
9.0,106,1.995468
7.0,80,2.048234
9.0,102,2.115406
6.0,74,2.164049
5.0,60,2.204024
11.0,130,2.289601
2.0,26,2.306759
8.0,92,2.367372
9.0,102,2.434688
19.0,154,2.541254
6.0,70,2.58828
11.0,126,2.673205
10.0,116,2.75121
6.0,72,2.798602
19.0,154,2.900026
11.0,126,2.983039
11.0,130,4.765953
9.0,104,4.842858
10.0,118,4.922768
9.0,102,4.989237
11.0,130,5.073985
19.0,154,5.174316
8.0,92,5.234293
6.0,70,5.279928
6.0,72,5.326957
20.0,164,5.433808
3.0,38,5.458619
11.0,130,5.54329
11.0,130,5.628094
8.0,96,5.690647
15.0,118,5.767648
11.0,126,5.849944
12.0,140,5.941506
11.0,130,6.026533
10.0,116,6.102446
20.0,164,7.859155
11.0,130,7.943898
9.0,102,8.010386
11.0,130,8.094865
12.0,140,8.185886
9.0,106,8.255507
0.0,6,8.262935
11.0,130,8.367154
20.0,164,8.473959
9.0,104,8.541857
3.0,38,8.566765
7.0,82,8.621656
20.0,164,8.728982
6.0,70,8.774735
1.0,16,8.785214
20.0,164,8.892143
5.0,62,8.932704
3.0,38,8.957606
8.0,90,9.016475
10.0,116,9.092287
