#{"t_start": 1772184961.0505953, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.09232
19.0,154,2.179051
5.0,60,2.212864
9.0,106,2.27248
7.0,80,2.317777
9.0,102,2.375276
6.0,74,2.416929
5.0,60,2.450871
11.0,130,2.524194
2.0,26,2.538877
8.0,92,2.590708
9.0,102,2.64818
19.0,154,2.735621
6.0,70,2.775222
11.0,126,2.847305
10.0,116,2.915154
6.0,72,2.957064
19.0,154,3.047835
11.0,126,3.121357
11.0,130,4.770067
9.0,104,4.839058
10.0,118,4.907701
9.0,102,4.965495
11.0,130,5.039196
19.0,154,5.127059
8.0,92,5.17955
6.0,70,5.2192
6.0,72,5.260048
20.0,164,5.352765
3.0,38,5.374408
11.0,130,5.447843
11.0,130,5.521281
8.0,96,5.575712
15.0,118,5.642588
11.0,126,5.71472
12.0,140,5.794049
11.0,130,5.867965
10.0,116,5.93427
20.0,164,7.585653
11.0,130,7.659348
9.0,102,7.717001
11.0,130,7.790717
12.0,140,7.869841
9.0,106,7.930409
0.0,6,7.93398
11.0,130,8.007452
20.0,164,8.100697
9.0,104,8.159612
3.0,38,8.181156
7.0,82,8.227595
20.0,164,8.320372
6.0,70,8.360001
1.0,16,8.369141
20.0,164,8.463099
5.0,62,8.4995
3.0,38,8.521197
8.0,90,8.57237
10.0,116,8.638283
