#{"t_start": 1772194741.0035033, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.802016
19.0,154,2.88746
5.0,60,2.920743
9.0,106,2.979304
7.0,80,3.02372
9.0,102,3.08007
6.0,74,3.120863
5.0,60,3.153949
11.0,130,3.225413
2.0,26,3.239843
8.0,92,3.290646
9.0,102,3.346853
19.0,154,3.431717
6.0,70,3.470287
11.0,126,3.539787
10.0,116,3.603726
6.0,72,3.643418
19.0,154,3.728096
11.0,126,3.797685
11.0,130,54.472802
9.0,104,54.531101
10.0,118,54.597412
9.0,102,54.654487
11.0,130,54.727336
19.0,154,54.812676
8.0,92,54.86472
6.0,70,54.903448
6.0,72,54.943063
20.0,164,55.033295
3.0,38,55.05432
11.0,130,55.125983
11.0,130,55.197652
8.0,96,55.250696
15.0,118,55.315866
11.0,126,55.385422
12.0,140,55.462792
11.0,130,55.534717
10.0,116,55.598792
20.0,164,106.29861
11.0,130,106.37225
9.0,102,106.429849
11.0,130,106.503146
12.0,140,106.58098
9.0,106,106.6393
0.0,6,106.642699
11.0,130,106.7143
20.0,164,106.804601
9.0,104,106.861866
3.0,38,106.882946
7.0,82,106.928152
20.0,164,107.018629
6.0,70,107.057174
1.0,16,107.066112
20.0,164,107.156643
5.0,62,107.191099
3.0,38,107.21228
8.0,90,107.262239
10.0,116,107.327168
