#{"t_start": 1772247216.756094, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.590464
19.0,154,3.694521
5.0,60,3.735036
9.0,106,3.80655
7.0,80,3.860688
9.0,102,3.92959
6.0,74,3.979641
5.0,60,4.02031
11.0,130,4.108325
2.0,26,4.125943
8.0,92,4.18811
9.0,102,4.257128
19.0,154,4.361183
6.0,70,4.408497
11.0,126,4.493584
10.0,116,4.571866
6.0,72,4.620501
19.0,154,4.724392
11.0,126,4.80946
11.0,130,6.667409
9.0,104,6.763181
10.0,118,6.846644
9.0,102,6.915616
11.0,130,7.003721
19.0,154,7.107947
8.0,92,7.170201
6.0,70,7.217557
6.0,72,7.267083
20.0,164,7.378018
3.0,38,7.403779
11.0,130,7.491684
11.0,130,7.57956
8.0,96,7.644503
15.0,118,7.724351
11.0,126,7.809522
12.0,140,7.904243
11.0,130,7.9921
10.0,116,8.070682
20.0,164,9.929663
11.0,130,10.017754
9.0,102,10.086756
11.0,130,10.174677
12.0,140,10.270035
9.0,106,10.34175
0.0,6,10.345877
11.0,130,10.433654
20.0,164,10.544356
9.0,104,10.6147
3.0,38,10.640472
7.0,82,10.695971
20.0,164,10.806842
6.0,70,10.854209
1.0,16,10.865105
20.0,164,10.975976
5.0,62,11.018119
3.0,38,11.043847
8.0,90,11.104777
10.0,116,11.183183
