#{"t_start": 1773138476.678432, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.053872
19.0,154,3.157292
5.0,60,3.197554
9.0,106,3.268619
7.0,80,3.322294
9.0,102,3.394069
6.0,74,3.443813
5.0,60,3.48427
11.0,130,3.571386
2.0,26,3.588969
8.0,92,3.650784
9.0,102,3.719248
19.0,154,3.822428
6.0,70,3.869691
11.0,126,3.954284
10.0,116,4.03212
6.0,72,4.080456
19.0,154,4.183771
11.0,126,4.268162
11.0,130,6.087654
9.0,104,6.18272
10.0,118,6.266067
9.0,102,6.334572
11.0,130,6.42173
19.0,154,6.527107
8.0,92,6.589092
6.0,70,6.63621
6.0,72,6.68467
20.0,164,6.795036
3.0,38,6.820644
11.0,130,6.908031
11.0,130,6.995381
8.0,96,7.05999
15.0,118,7.141417
11.0,126,7.226236
12.0,140,7.320457
11.0,130,7.407908
10.0,116,7.485989
20.0,164,9.331632
11.0,130,9.418742
9.0,102,9.486994
11.0,130,9.574029
12.0,140,9.667833
9.0,106,9.738707
0.0,6,9.742795
11.0,130,9.829733
20.0,164,9.939388
9.0,104,10.00951
3.0,38,10.034994
7.0,82,10.089842
20.0,164,10.199387
6.0,70,10.246229
1.0,16,10.257043
20.0,164,10.367207
5.0,62,10.408935
3.0,38,10.43451
8.0,90,10.495035
10.0,116,10.573273
