#{"t_start": 1772182021.737171, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.583228
19.0,154,1.668383
5.0,60,1.701442
9.0,106,1.759853
7.0,80,1.803962
9.0,102,1.86012
6.0,74,1.900906
5.0,60,1.933986
11.0,130,2.005632
2.0,26,2.020012
8.0,92,2.071136
9.0,102,2.127359
19.0,154,2.21218
6.0,70,2.250792
11.0,126,2.320273
10.0,116,2.384235
6.0,72,2.423965
19.0,154,2.508877
11.0,126,2.578382
11.0,130,4.944994
9.0,104,5.007516
10.0,118,5.075171
9.0,102,5.131823
11.0,130,5.203881
19.0,154,5.289232
8.0,92,5.340249
6.0,70,5.379077
6.0,72,5.419083
20.0,164,5.509968
3.0,38,5.53107
11.0,130,5.603146
11.0,130,5.675252
8.0,96,5.728526
15.0,118,5.793978
11.0,126,5.863828
12.0,140,5.941462
11.0,130,6.013603
10.0,116,6.078156
20.0,164,7.817379
11.0,130,7.889209
9.0,102,7.945699
11.0,130,8.01763
12.0,140,8.095124
9.0,106,8.15379
0.0,6,8.157168
11.0,130,8.229065
20.0,164,8.319724
9.0,104,8.377287
3.0,38,8.398353
7.0,82,8.443691
20.0,164,8.534313
6.0,70,8.573028
1.0,16,8.581916
20.0,164,8.672807
5.0,62,8.707227
3.0,38,8.728371
8.0,90,8.778302
10.0,116,8.842743
