#{"t_start": 1773132332.4719322, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.507679
19.0,154,1.594266
5.0,60,1.628098
9.0,106,1.687745
7.0,80,1.73272
9.0,102,1.790052
6.0,74,1.831947
5.0,60,1.866152
11.0,130,1.938896
2.0,26,1.95353
8.0,92,2.005142
9.0,102,2.062426
19.0,154,2.148733
6.0,70,2.187943
11.0,126,2.258791
10.0,116,2.323655
6.0,72,2.36394
19.0,154,2.450033
11.0,126,2.520555
11.0,130,4.227983
9.0,104,4.291343
10.0,118,4.3612
9.0,102,4.419492
11.0,130,4.49381
19.0,154,4.582407
8.0,92,4.635163
6.0,70,4.675272
6.0,72,4.716484
20.0,164,4.810552
3.0,38,4.832415
11.0,130,4.907087
11.0,130,4.981702
8.0,96,5.037076
15.0,118,5.103644
11.0,126,5.174412
12.0,140,5.253533
11.0,130,5.327738
10.0,116,5.393094
20.0,164,7.13126
11.0,130,7.20563
9.0,102,7.262785
11.0,130,7.335621
12.0,140,7.413985
9.0,106,7.473425
0.0,6,7.476853
11.0,130,7.549619
20.0,164,7.641378
9.0,104,7.69976
3.0,38,7.721169
7.0,82,7.767133
20.0,164,7.859015
6.0,70,7.898251
1.0,16,7.907271
20.0,164,7.999274
5.0,62,8.034543
3.0,38,8.05587
8.0,90,8.107335
10.0,116,8.172549
