#{"t_start": 1772290878.808676, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.765365
19.0,154,3.901255
5.0,60,3.954104
9.0,106,4.047449
7.0,80,4.117821
9.0,102,4.207526
6.0,74,4.272546
5.0,60,4.327968
11.0,130,4.442306
2.0,26,4.465188
8.0,92,4.546194
9.0,102,4.639392
19.0,154,4.774959
6.0,70,4.836892
11.0,126,4.947143
10.0,116,5.048625
6.0,72,5.111684
19.0,154,5.246625
11.0,126,5.357227
11.0,130,7.333811
9.0,104,7.433762
10.0,118,7.538129
9.0,102,7.627625
11.0,130,7.741555
19.0,154,7.876748
8.0,92,7.957621
6.0,70,8.018987
6.0,72,8.082085
20.0,164,8.22878
3.0,38,8.262213
11.0,130,8.376528
11.0,130,8.490651
8.0,96,8.575172
15.0,118,8.678962
11.0,126,8.789603
12.0,140,8.912799
11.0,130,9.026937
10.0,116,9.128842
20.0,164,11.087654
11.0,130,11.201509
9.0,102,11.290959
11.0,130,11.404841
12.0,140,11.527562
9.0,106,11.620494
0.0,6,11.625836
11.0,130,11.739874
20.0,164,11.885628
9.0,104,11.977073
3.0,38,12.010448
7.0,82,12.082395
20.0,164,12.226019
6.0,70,12.287894
1.0,16,12.301968
20.0,164,12.44593
5.0,62,12.500658
3.0,38,12.534109
8.0,90,12.613263
10.0,116,12.715979
