#{"t_start": 1772786540.0495353, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.901047
19.0,154,3.030617
5.0,60,3.081182
9.0,106,3.17026
7.0,80,3.237535
9.0,102,3.323369
6.0,74,3.385659
5.0,60,3.436131
11.0,130,3.54573
2.0,26,3.567643
8.0,92,3.645033
9.0,102,3.731073
19.0,154,3.862868
6.0,70,3.921801
11.0,126,4.027943
10.0,116,4.125478
6.0,72,4.185994
19.0,154,4.315417
11.0,126,4.421223
11.0,130,6.80457
9.0,104,6.900043
10.0,118,7.000954
9.0,102,7.087836
11.0,130,7.198524
19.0,154,7.32963
8.0,92,7.443887
6.0,70,7.519097
6.0,72,7.594931
20.0,164,7.767412
3.0,38,7.807361
11.0,130,7.944064
11.0,130,8.082301
8.0,96,8.183472
15.0,118,8.307817
11.0,126,8.440464
12.0,140,8.587867
11.0,130,8.72623
10.0,116,8.848306
20.0,164,11.008155
11.0,130,11.119716
9.0,102,11.206968
11.0,130,11.317997
12.0,140,11.437776
9.0,106,11.530489
0.0,6,11.535801
11.0,130,11.647208
20.0,164,11.787526
9.0,104,11.87654
3.0,38,11.909149
7.0,82,11.979468
20.0,164,12.122652
6.0,70,12.211912
1.0,16,12.230202
20.0,164,12.403381
5.0,62,12.468334
3.0,38,12.508146
8.0,90,12.602377
10.0,116,12.723817
