#{"t_start": 1772186331.7770119, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.127795
19.0,154,2.216413
5.0,60,2.253721
9.0,106,2.31482
7.0,80,2.361495
9.0,102,2.419913
6.0,74,2.462289
5.0,60,2.496666
11.0,130,2.571069
2.0,26,2.586019
8.0,92,2.638817
9.0,102,2.697248
19.0,154,2.785496
6.0,70,2.825691
11.0,126,2.89784
10.0,116,2.964358
6.0,72,3.005637
19.0,154,3.094074
11.0,126,3.166478
11.0,130,4.924634
9.0,104,4.988129
10.0,118,5.056984
9.0,102,5.115286
11.0,130,5.189002
19.0,154,5.276302
8.0,92,5.328507
6.0,70,5.368203
6.0,72,5.409028
20.0,164,5.501969
3.0,38,5.523651
11.0,130,5.597957
11.0,130,5.672639
8.0,96,5.727084
15.0,118,5.793991
11.0,126,5.86552
12.0,140,5.944974
11.0,130,6.019017
10.0,116,6.085579
20.0,164,7.748767
11.0,130,7.823072
9.0,102,7.88129
11.0,130,7.955856
12.0,140,8.035774
9.0,106,8.096255
0.0,6,8.099743
11.0,130,8.17389
20.0,164,8.267573
9.0,104,8.326994
3.0,38,8.348726
7.0,82,8.395512
20.0,164,8.488993
6.0,70,8.528953
1.0,16,8.538129
20.0,164,8.631805
5.0,62,8.66739
3.0,38,8.689222
8.0,90,8.7409
10.0,116,8.808264
