#{"t_start": 1772889383.2524872, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.640587
19.0,154,2.747909
5.0,60,2.789726
9.0,106,2.863467
7.0,80,2.919184
9.0,102,2.990232
6.0,74,3.041726
5.0,60,3.083493
11.0,130,3.173916
2.0,26,3.192072
8.0,92,3.256166
9.0,102,3.327221
19.0,154,3.434385
6.0,70,3.484871
11.0,126,3.572901
10.0,116,3.653949
6.0,72,3.70436
19.0,154,3.81201
11.0,126,3.900043
11.0,130,5.816734
9.0,104,5.894824
10.0,118,5.97781
9.0,102,6.048924
11.0,130,6.141415
19.0,154,6.248742
8.0,92,6.312929
6.0,70,6.36197
6.0,72,6.412573
20.0,164,6.526863
3.0,38,6.553423
11.0,130,6.644026
11.0,130,6.734751
8.0,96,6.801742
15.0,118,6.884095
11.0,126,6.971994
12.0,140,7.069757
11.0,130,7.16074
10.0,116,7.242054
20.0,164,8.883817
11.0,130,8.958809
9.0,102,9.017642
11.0,130,9.092656
12.0,140,9.173411
9.0,106,9.234543
0.0,6,9.238064
11.0,130,9.312959
20.0,164,9.407379
9.0,104,9.467278
3.0,38,9.489231
7.0,82,9.53709
20.0,164,9.631672
6.0,70,9.672026
1.0,16,9.681298
20.0,164,9.776144
5.0,62,9.812113
3.0,38,9.834185
8.0,90,9.886355
10.0,116,9.953582
