#{"t_start": 1772192874.3730853, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.389524
19.0,154,2.540618
5.0,60,2.599446
9.0,106,2.707077
7.0,80,2.785674
9.0,102,2.885698
6.0,74,2.958331
5.0,60,3.018084
11.0,130,3.145432
2.0,26,3.170943
8.0,92,3.261038
9.0,102,3.360854
19.0,154,3.51185
6.0,70,3.580343
11.0,126,3.707077
10.0,116,3.820644
6.0,72,3.89107
19.0,154,4.041598
11.0,126,4.164811
11.0,130,6.721135
9.0,104,6.823416
10.0,118,6.939349
9.0,102,7.039469
11.0,130,7.167119
19.0,154,7.318338
8.0,92,7.408742
6.0,70,7.477582
6.0,72,7.548975
20.0,164,7.713506
3.0,38,7.752026
11.0,130,7.882931
11.0,130,8.011212
8.0,96,8.10788
15.0,118,8.22633
11.0,126,8.352341
12.0,140,8.490035
11.0,130,8.618117
10.0,116,8.732528
20.0,164,11.100198
11.0,130,11.227923
9.0,102,11.328187
11.0,130,11.455884
12.0,140,11.595343
9.0,106,11.699778
0.0,6,11.705767
11.0,130,11.833696
20.0,164,11.995286
9.0,104,12.097679
3.0,38,12.135271
7.0,82,12.23733
20.0,164,12.416754
6.0,70,12.485902
1.0,16,12.501773
20.0,164,12.66394
5.0,62,12.727739
3.0,38,12.765483
8.0,90,12.854527
10.0,116,12.96934
