#{"t_start": 1773165252.3545892, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.104806
19.0,154,2.247863
5.0,60,2.308266
9.0,106,2.406682
7.0,80,2.480829
9.0,102,2.575319
6.0,74,2.643862
5.0,60,2.699405
11.0,130,2.819711
2.0,26,2.843863
8.0,92,2.929079
9.0,102,3.023509
19.0,154,3.166057
6.0,70,3.230887
11.0,126,3.352127
10.0,116,3.459969
6.0,72,3.5269
19.0,154,3.670063
11.0,126,3.787083
11.0,130,6.457398
9.0,104,6.560099
10.0,118,6.669778
9.0,102,6.764647
11.0,130,6.885558
19.0,154,7.028765
8.0,92,7.11427
6.0,70,7.179406
6.0,72,7.246339
20.0,164,7.398646
3.0,38,7.433939
11.0,130,7.554604
11.0,130,7.675492
8.0,96,7.764788
15.0,118,7.874375
11.0,126,7.991495
12.0,140,8.121984
11.0,130,8.243171
10.0,116,8.351533
20.0,164,11.078123
11.0,130,11.205552
9.0,102,11.305291
11.0,130,11.432367
12.0,140,11.56915
9.0,106,11.672716
0.0,6,11.678675
11.0,130,11.805752
20.0,164,11.965959
9.0,104,12.091715
3.0,38,12.133143
7.0,82,12.215457
20.0,164,12.379086
6.0,70,12.449807
1.0,16,12.466051
20.0,164,12.632195
5.0,62,12.69548
3.0,38,12.733945
8.0,90,12.824306
10.0,116,12.941692
