#{"t_start": 1772182020.6804926, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.681734
19.0,154,1.76965
5.0,60,1.803931
9.0,106,1.864417
7.0,80,1.910213
9.0,102,1.968452
6.0,74,2.010733
5.0,60,2.045478
11.0,130,2.119297
2.0,26,2.134106
8.0,92,2.186408
9.0,102,2.244807
19.0,154,2.33227
6.0,70,2.372153
11.0,126,2.444169
10.0,116,2.510118
6.0,72,2.55105
19.0,154,2.641156
11.0,126,2.71289
11.0,130,4.589461
9.0,104,4.672968
10.0,118,4.758921
9.0,102,4.830394
11.0,130,4.922956
19.0,154,5.031167
8.0,92,5.095927
6.0,70,5.145115
6.0,72,5.195715
20.0,164,5.310823
3.0,38,5.337553
11.0,130,5.428795
11.0,130,5.520913
8.0,96,5.588418
15.0,118,5.671285
11.0,126,5.759769
12.0,140,5.858149
11.0,130,5.95
10.0,116,6.031617
20.0,164,8.055783
11.0,130,8.146804
9.0,102,8.218219
11.0,130,8.309197
12.0,140,8.4294
9.0,106,8.512924
0.0,6,8.517391
11.0,130,8.608721
20.0,164,8.723559
9.0,104,8.796453
3.0,38,8.823112
7.0,82,8.880565
20.0,164,8.995377
6.0,70,9.044432
1.0,16,9.055691
20.0,164,9.170618
5.0,62,9.215732
3.0,38,9.242559
8.0,90,9.305851
10.0,116,9.387415
