#{"t_start": 1772787033.5700886, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.511548
19.0,154,1.600545
5.0,60,1.635269
9.0,106,1.696548
7.0,80,1.742803
9.0,102,1.801675
6.0,74,1.84495
5.0,60,1.880174
11.0,130,1.954877
2.0,26,1.969877
8.0,92,2.022747
9.0,102,2.08146
19.0,154,2.169911
6.0,70,2.210168
11.0,126,2.282876
10.0,116,2.350939
6.0,72,2.392414
19.0,154,2.481024
11.0,126,2.553398
11.0,130,4.178654
9.0,104,4.246979
10.0,118,4.320193
9.0,102,4.379157
11.0,130,4.454259
19.0,154,4.5432
8.0,92,4.596427
6.0,70,4.636925
6.0,72,4.678632
20.0,164,4.773383
3.0,38,4.79538
11.0,130,4.870464
11.0,130,4.946522
8.0,96,5.002725
15.0,118,5.071039
11.0,126,5.143886
12.0,140,5.224895
11.0,130,5.301182
10.0,116,5.368593
20.0,164,7.017684
11.0,130,7.094752
9.0,102,7.153644
11.0,130,7.228729
12.0,140,7.34976
9.0,106,7.412692
0.0,6,7.416218
11.0,130,7.491381
20.0,164,7.585992
9.0,104,7.646068
3.0,38,7.668061
7.0,82,7.715399
20.0,164,7.810251
6.0,70,7.85101
1.0,16,7.860486
20.0,164,7.955461
5.0,62,7.991418
3.0,38,8.014075
8.0,90,8.0678
10.0,116,8.135135
