#{"t_start": 1772181881.5416858, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,6.312786
19.0,154,6.531417
5.0,60,6.615949
9.0,106,6.765187
7.0,80,6.877807
9.0,102,7.021287
6.0,74,7.129323
5.0,60,7.214047
11.0,130,7.397094
2.0,26,7.434305
8.0,92,7.563922
9.0,102,7.707592
19.0,154,7.925506
6.0,70,8.0242
11.0,126,8.201667
10.0,116,8.365067
6.0,72,8.466446
19.0,154,8.683151
11.0,126,8.862816
11.0,130,12.351033
9.0,104,12.503425
10.0,118,12.666675
9.0,102,12.808922
11.0,130,12.9886
19.0,154,13.201275
8.0,92,13.32868
6.0,70,13.42556
6.0,72,13.52537
20.0,164,13.751883
3.0,38,13.804459
11.0,130,13.98395
11.0,130,14.16357
8.0,96,14.296214
15.0,118,14.459333
11.0,126,14.633458
12.0,140,14.826836
11.0,130,15.0064
10.0,116,15.16675
20.0,164,18.973013
11.0,130,19.155058
9.0,102,19.296607
11.0,130,19.476921
12.0,140,19.682513
9.0,106,19.833105
0.0,6,19.84153
11.0,130,20.022032
20.0,164,20.249187
9.0,104,20.393435
3.0,38,20.446201
7.0,82,20.561627
20.0,164,20.789382
6.0,70,20.886694
1.0,16,20.908994
20.0,164,21.136561
5.0,62,21.222618
3.0,38,21.275413
8.0,90,21.400236
10.0,116,21.561245
