#{"t_start": 1772721315.7091243, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,5.508493
19.0,154,5.733422
5.0,60,5.820054
9.0,106,5.972838
7.0,80,6.08838
9.0,102,6.235325
6.0,74,6.345703
5.0,60,6.432376
11.0,130,6.619961
2.0,26,6.657527
8.0,92,6.790183
9.0,102,6.937232
19.0,154,7.160342
6.0,70,7.261388
11.0,126,7.44305
10.0,116,7.610261
6.0,72,7.714073
19.0,154,7.935853
11.0,126,8.120161
11.0,130,11.480229
9.0,104,11.640137
10.0,118,11.831497
9.0,102,11.989284
11.0,130,12.189708
19.0,154,12.424886
8.0,92,12.559907
6.0,70,12.662413
6.0,72,12.767915
20.0,164,13.008592
3.0,38,13.064191
11.0,130,13.253093
11.0,130,13.443896
8.0,96,13.583845
15.0,118,13.755172
11.0,126,13.938145
12.0,140,14.141992
11.0,130,14.331172
10.0,116,14.500049
20.0,164,17.766324
11.0,130,17.9547
9.0,102,18.102472
11.0,130,18.290772
12.0,140,18.493526
9.0,106,18.647049
0.0,6,18.65585
11.0,130,18.844296
20.0,164,19.081613
9.0,104,19.232234
3.0,38,19.287245
7.0,82,19.40773
20.0,164,19.645456
6.0,70,19.746937
1.0,16,19.770193
20.0,164,20.008078
5.0,62,20.097926
3.0,38,20.153088
8.0,90,20.283823
10.0,116,20.452
