#{"t_start": 1772527299.8290145, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,4.048399
19.0,154,4.08855
5.0,60,4.104035
9.0,106,4.131037
7.0,80,4.15164
9.0,102,4.177674
6.0,74,4.196675
5.0,60,4.212107
11.0,130,4.245214
2.0,26,4.25206
8.0,92,4.275653
9.0,102,4.304131
19.0,154,4.343344
6.0,70,4.361303
11.0,126,4.393492
10.0,116,4.423373
6.0,72,4.441942
19.0,154,4.481736
11.0,126,4.514316
11.0,130,5.714602
9.0,104,5.742242
10.0,118,5.773465
9.0,102,5.800304
11.0,130,5.834509
19.0,154,5.874896
8.0,92,5.899261
6.0,70,5.917656
6.0,72,5.936704
20.0,164,5.979734
3.0,38,5.989909
11.0,130,6.024044
11.0,130,6.058444
8.0,96,6.083781
15.0,118,6.114842
11.0,126,6.147999
12.0,140,6.184772
11.0,130,6.219319
10.0,116,6.250345
20.0,164,7.438441
11.0,130,7.472439
9.0,102,7.499052
11.0,130,7.532974
12.0,140,7.569408
9.0,106,7.596878
0.0,6,7.598633
11.0,130,7.632502
20.0,164,7.67503
9.0,104,7.702176
3.0,38,7.712187
7.0,82,7.733755
20.0,164,7.776357
6.0,70,7.794688
1.0,16,7.799059
20.0,164,7.841865
5.0,62,7.858366
3.0,38,7.86851
8.0,90,7.892293
10.0,116,7.922823
