#{"t_start": 1772718257.4655056, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,4.210105
19.0,154,4.250408
5.0,60,4.266255
9.0,106,4.294018
7.0,80,4.3149
9.0,102,4.342136
6.0,74,4.36131
5.0,60,4.376915
11.0,130,4.410319
2.0,26,4.417132
8.0,92,4.440907
9.0,102,4.467614
19.0,154,4.508035
6.0,70,4.526273
11.0,126,4.559122
10.0,116,4.589472
6.0,72,4.608288
19.0,154,4.648371
11.0,126,4.681539
11.0,130,5.829019
9.0,104,5.85665
10.0,118,5.887805
9.0,102,5.914673
11.0,130,5.948612
19.0,154,5.989057
8.0,92,6.013245
6.0,70,6.031676
6.0,72,6.050597
20.0,164,6.093751
3.0,38,6.103936
11.0,130,6.138267
11.0,130,6.172486
8.0,96,6.197824
15.0,118,6.228872
11.0,126,6.261953
12.0,140,6.298666
11.0,130,6.333396
10.0,116,6.36432
20.0,164,7.515563
11.0,130,7.550364
9.0,102,7.577416
11.0,130,7.611892
12.0,140,7.648971
9.0,106,7.677144
0.0,6,7.678835
11.0,130,7.713191
20.0,164,7.756643
9.0,104,7.784296
3.0,38,7.79459
7.0,82,7.816371
20.0,164,7.85968
6.0,70,7.878405
1.0,16,7.882894
20.0,164,7.926901
5.0,62,7.943719
3.0,38,7.954054
8.0,90,7.978198
10.0,116,8.0093
