#{"t_start": 1772333198.5408416, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.497108
19.0,154,2.586895
5.0,60,2.621379
9.0,106,2.682246
7.0,80,2.728217
9.0,102,2.786762
6.0,74,2.82927
5.0,60,2.863842
11.0,130,2.938617
2.0,26,2.953594
8.0,92,3.006426
9.0,102,3.064991
19.0,154,3.153522
6.0,70,3.194503
11.0,126,3.267987
10.0,116,3.336026
6.0,72,3.377748
19.0,154,3.468508
11.0,126,3.546996
11.0,130,5.136758
9.0,104,5.202357
10.0,118,5.272848
9.0,102,5.331659
11.0,130,5.406617
19.0,154,5.495344
8.0,92,5.548511
6.0,70,5.588874
6.0,72,5.630536
20.0,164,5.725171
3.0,38,5.747095
11.0,130,5.822799
11.0,130,5.898409
8.0,96,5.953959
15.0,118,6.021993
11.0,126,6.094993
12.0,140,6.175889
11.0,130,6.250917
10.0,116,6.317878
20.0,164,7.882589
11.0,130,7.957978
9.0,102,8.016881
11.0,130,8.091933
12.0,140,8.172725
9.0,106,8.233912
0.0,6,8.237431
11.0,130,8.312399
20.0,164,8.407065
9.0,104,8.467463
3.0,38,8.489463
7.0,82,8.536813
20.0,164,8.631459
6.0,70,8.671848
1.0,16,8.681144
20.0,164,8.776013
5.0,62,8.812029
3.0,38,8.834102
8.0,90,8.886271
10.0,116,8.953494
