#{"t_start": 1772724335.0934002, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.988285
19.0,154,2.109092
5.0,60,2.156156
9.0,106,2.239301
7.0,80,2.302557
9.0,102,2.382074
6.0,74,2.44002
5.0,60,2.486885
11.0,130,2.588308
2.0,26,2.608627
8.0,92,2.68378
9.0,102,2.76354
19.0,154,2.883537
6.0,70,2.938218
11.0,126,3.036966
10.0,116,3.127667
6.0,72,3.183788
19.0,154,3.303841
11.0,126,3.402325
11.0,130,5.430077
9.0,104,5.512139
10.0,118,5.604878
9.0,102,5.68494
11.0,130,5.787174
19.0,154,5.908218
8.0,92,5.98156
6.0,70,6.037008
6.0,72,6.093702
20.0,164,6.222623
3.0,38,6.25249
11.0,130,6.35443
11.0,130,6.456466
8.0,96,6.531973
15.0,118,6.624759
11.0,126,6.723825
12.0,140,6.833752
11.0,130,6.935826
10.0,116,7.026973
20.0,164,9.050314
11.0,130,9.15226
9.0,102,9.232222
11.0,130,9.334064
12.0,140,9.443792
9.0,106,9.526829
0.0,6,9.531603
11.0,130,9.633513
20.0,164,9.762054
9.0,104,9.843609
3.0,38,9.873447
7.0,82,9.937909
20.0,164,10.067013
6.0,70,10.121969
1.0,16,10.134573
20.0,164,10.263264
5.0,62,10.312068
3.0,38,10.342021
8.0,90,10.412794
10.0,116,10.503937
