#{"t_start": 1772181881.5203624, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,6.207134
19.0,154,6.406962
5.0,60,6.484878
9.0,106,6.622675
7.0,80,6.726918
9.0,102,6.861102
6.0,74,6.957271
5.0,60,7.035658
11.0,130,7.203743
2.0,26,7.237493
8.0,92,7.356564
9.0,102,7.488589
19.0,154,7.690002
6.0,70,7.780768
11.0,126,7.943769
10.0,116,8.093846
6.0,72,8.187019
19.0,154,8.386713
11.0,126,8.549735
11.0,130,11.516558
9.0,104,11.658505
10.0,118,11.812244
9.0,102,11.945093
11.0,130,12.114265
19.0,154,12.31473
8.0,92,12.434611
6.0,70,12.525932
6.0,72,12.6198
20.0,164,12.834482
3.0,38,12.884175
11.0,130,13.053681
11.0,130,13.223209
8.0,96,13.348359
15.0,118,13.50422
11.0,126,13.668538
12.0,140,13.850986
11.0,130,14.020376
10.0,116,14.171577
20.0,164,17.624049
11.0,130,17.793614
9.0,102,17.927973
11.0,130,18.097306
12.0,140,18.279509
9.0,106,18.417533
0.0,6,18.425435
11.0,130,18.594517
20.0,164,18.808022
9.0,104,18.943475
3.0,38,18.993038
7.0,82,19.09982
20.0,164,19.313325
6.0,70,19.404464
1.0,16,19.425514
20.0,164,19.640771
5.0,62,19.724384
3.0,38,19.774733
8.0,90,19.892704
10.0,116,20.045858
