#{"t_start": 1772721662.5403528, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.220111
19.0,154,3.433282
5.0,60,3.516758
9.0,106,3.660031
7.0,80,3.774086
9.0,102,3.910049
6.0,74,4.011285
5.0,60,4.094521
11.0,130,4.267739
2.0,26,4.302694
8.0,92,4.428675
9.0,102,4.567802
19.0,154,4.777284
6.0,70,4.870597
11.0,126,5.039105
10.0,116,5.18895
6.0,72,5.283832
19.0,154,5.482841
11.0,126,5.645535
11.0,130,8.485501
9.0,104,8.625592
10.0,118,8.776767
9.0,102,8.907325
11.0,130,9.073816
19.0,154,9.270864
8.0,92,9.388813
6.0,70,9.47846
6.0,72,9.570723
20.0,164,9.780989
3.0,38,9.829675
11.0,130,9.997629
11.0,130,10.164739
8.0,96,10.287925
15.0,118,10.439304
11.0,126,10.600978
12.0,140,10.780779
11.0,130,10.947528
10.0,116,11.098348
20.0,164,14.578902
11.0,130,14.745432
9.0,102,14.876091
11.0,130,15.042681
12.0,140,15.222049
9.0,106,15.357993
0.0,6,15.365798
11.0,130,15.532423
20.0,164,15.743961
9.0,104,15.877448
3.0,38,15.926588
7.0,82,16.031848
20.0,164,16.242581
6.0,70,16.332848
1.0,16,16.353523
20.0,164,16.564682
5.0,62,16.644532
3.0,38,16.693515
8.0,90,16.809402
10.0,116,16.958839
