#{"t_start": 1772786068.2637074, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.655106
19.0,154,1.740125
5.0,60,1.773376
9.0,106,1.831767
7.0,80,1.876011
9.0,102,1.932473
6.0,74,1.973436
5.0,60,2.006974
11.0,130,2.078332
2.0,26,2.092863
8.0,92,2.14365
9.0,102,2.199804
19.0,154,2.284829
6.0,70,2.323278
11.0,126,2.393035
10.0,116,2.456942
6.0,72,2.496828
19.0,154,2.583672
11.0,126,2.653446
11.0,130,4.096542
9.0,104,4.173031
10.0,118,4.238313
9.0,102,4.294765
11.0,130,4.366627
19.0,154,4.451704
8.0,92,4.502552
6.0,70,4.541242
6.0,72,4.581127
20.0,164,4.671685
3.0,38,4.692707
11.0,130,4.764577
11.0,130,4.836474
8.0,96,4.889549
15.0,118,4.954771
11.0,126,5.024428
12.0,140,5.101969
11.0,130,5.174165
10.0,116,5.239589
20.0,164,6.521379
11.0,130,6.593299
9.0,102,6.649986
11.0,130,6.722114
12.0,140,6.799525
9.0,106,6.858286
0.0,6,6.861667
11.0,130,6.933535
20.0,164,7.024135
9.0,104,7.081728
3.0,38,7.102794
7.0,82,7.148398
20.0,164,7.238994
6.0,70,7.277729
1.0,16,7.286626
20.0,164,7.377357
5.0,62,7.411946
3.0,38,7.4331
8.0,90,7.483083
10.0,116,7.547499
