#{"t_start": 1772796992.6169608, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.158937
19.0,154,3.259168
5.0,60,3.298487
9.0,106,3.367803
7.0,80,3.419805
9.0,102,3.486155
6.0,74,3.534242
5.0,60,3.573308
11.0,130,3.657931
2.0,26,3.675072
8.0,92,3.73486
9.0,102,3.801639
19.0,154,3.902178
6.0,70,3.947751
11.0,126,4.029813
10.0,116,4.105541
6.0,72,4.152551
19.0,154,4.255972
11.0,126,4.339363
11.0,130,6.39894
9.0,104,6.475208
10.0,118,6.554755
9.0,102,6.62093
11.0,130,6.705849
19.0,154,6.80642
8.0,92,6.866151
6.0,70,6.911602
6.0,72,6.958712
20.0,164,7.066128
3.0,38,7.090832
11.0,130,7.175099
11.0,130,7.259434
8.0,96,7.321676
15.0,118,7.39866
11.0,126,7.480581
12.0,140,7.571327
11.0,130,7.655691
10.0,116,7.730973
20.0,164,9.762819
11.0,130,9.84746
9.0,102,9.913811
11.0,130,9.998438
12.0,140,10.08947
9.0,106,10.158431
0.0,6,10.162394
11.0,130,10.246892
20.0,164,10.354108
9.0,104,10.421772
3.0,38,10.446613
7.0,82,10.500108
20.0,164,10.606678
6.0,70,10.652266
1.0,16,10.662737
20.0,164,10.770347
5.0,62,10.810953
3.0,38,10.835893
8.0,90,10.894712
10.0,116,10.97059
