#{"t_start": 1772181881.520117, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,6.178638
19.0,154,6.367216
5.0,60,6.44071
9.0,106,6.570989
7.0,80,6.671917
9.0,102,6.796963
6.0,74,6.887536
5.0,60,6.960952
11.0,130,7.120102
2.0,26,7.152029
8.0,92,7.264695
9.0,102,7.389531
19.0,154,7.57783
6.0,70,7.663517
11.0,126,7.817849
10.0,116,7.959852
6.0,72,8.048105
19.0,154,8.237249
11.0,126,8.392184
11.0,130,11.451895
9.0,104,11.597542
10.0,118,11.746621
9.0,102,11.875561
11.0,130,12.039566
19.0,154,12.229839
8.0,92,12.343506
6.0,70,12.430021
6.0,72,12.518971
20.0,164,12.721361
3.0,38,12.768421
11.0,130,12.929137
11.0,130,13.092211
8.0,96,13.211358
15.0,118,13.35737
11.0,126,13.513154
12.0,140,13.690331
11.0,130,13.851328
10.0,116,13.995046
20.0,164,16.788543
11.0,130,16.948732
9.0,102,17.074293
11.0,130,17.234169
12.0,140,17.406393
9.0,106,17.536903
0.0,6,17.544391
11.0,130,17.704301
20.0,164,17.906335
9.0,104,18.035867
3.0,38,18.082999
7.0,82,18.184026
20.0,164,18.386231
6.0,70,18.472583
1.0,16,18.492398
20.0,164,18.694661
5.0,62,18.771335
3.0,38,18.818352
8.0,90,18.929585
10.0,116,19.074661
