#{"t_start": 1772721315.744204, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,5.360985
19.0,154,5.554868
5.0,60,5.630399
9.0,106,5.763649
7.0,80,5.864562
9.0,102,5.992859
6.0,74,6.085986
5.0,60,6.165097
11.0,130,6.328147
2.0,26,6.360918
8.0,92,6.476377
9.0,102,6.604234
19.0,154,6.797132
6.0,70,6.88501
11.0,126,7.043483
10.0,116,7.189073
6.0,72,7.279488
19.0,154,7.472621
11.0,126,7.630498
11.0,130,10.703886
9.0,104,10.839606
10.0,118,10.985988
9.0,102,11.112476
11.0,130,11.273757
19.0,154,11.464777
8.0,92,11.578852
6.0,70,11.665638
6.0,72,11.754858
20.0,164,11.958285
3.0,38,12.005551
11.0,130,12.168617
11.0,130,12.33317
8.0,96,12.452167
15.0,118,12.598378
11.0,126,12.756084
12.0,140,12.92971
11.0,130,13.091313
10.0,116,13.237103
20.0,164,16.130366
11.0,130,16.297277
9.0,102,16.42733
11.0,130,16.592798
12.0,140,16.77099
9.0,106,16.907481
0.0,6,16.91533
11.0,130,17.080746
20.0,164,17.289302
9.0,104,17.421628
3.0,38,17.469975
7.0,82,17.57441
20.0,164,17.785177
6.0,70,17.874458
1.0,16,17.894991
20.0,164,18.11044
5.0,62,18.193491
3.0,38,18.245659
8.0,90,18.369292
10.0,116,18.523096
