#{"t_start": 1772181003.0604768, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.448253
19.0,154,2.556836
5.0,60,2.598004
9.0,106,2.670517
7.0,80,2.725814
9.0,102,2.795259
6.0,74,2.845649
5.0,60,2.886542
11.0,130,2.975009
2.0,26,2.992786
8.0,92,3.057732
9.0,102,3.127273
19.0,154,3.231992
6.0,70,3.279663
11.0,126,3.365885
10.0,116,3.492395
6.0,72,3.543151
19.0,154,3.649356
11.0,126,3.736837
11.0,130,5.532706
9.0,104,5.643627
10.0,118,5.725737
9.0,102,5.79567
11.0,130,5.884709
19.0,154,5.992683
8.0,92,6.05602
6.0,70,6.104823
6.0,72,6.154359
20.0,164,6.266677
3.0,38,6.292732
11.0,130,6.381709
11.0,130,6.470928
8.0,96,6.536721
15.0,118,6.617518
11.0,126,6.703988
12.0,140,6.800296
11.0,130,6.891708
10.0,116,6.971708
20.0,164,8.765419
11.0,130,8.854602
9.0,102,8.924718
11.0,130,9.013841
12.0,140,9.109885
9.0,106,9.182515
0.0,6,9.186702
11.0,130,9.275807
20.0,164,9.388164
9.0,104,9.459571
3.0,38,9.485713
7.0,82,9.542118
20.0,164,9.65464
6.0,70,9.702683
1.0,16,9.713767
20.0,164,9.826648
5.0,62,9.869403
3.0,38,9.895623
8.0,90,9.957775
10.0,116,10.037644
