#{"t_start": 1772528141.2128556, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,1.880195
19.0,154,1.988697
5.0,60,2.031087
9.0,106,2.106096
7.0,80,2.162127
9.0,102,2.23345
6.0,74,2.285352
5.0,60,2.327445
11.0,130,2.418246
2.0,26,2.436514
8.0,92,2.500879
9.0,102,2.572275
19.0,154,2.682349
6.0,70,2.731333
11.0,126,2.819548
10.0,116,2.900709
6.0,72,2.951125
19.0,154,3.060049
11.0,126,3.149183
11.0,130,5.2298
9.0,104,5.322007
10.0,118,5.407262
9.0,102,5.47883
11.0,130,5.570422
19.0,154,5.678517
8.0,92,5.743158
6.0,70,5.792351
6.0,72,5.843414
20.0,164,5.95844
3.0,38,5.985262
11.0,130,6.076604
11.0,130,6.167889
8.0,96,6.235384
15.0,118,6.318223
11.0,126,6.406623
12.0,140,6.504833
11.0,130,6.596277
10.0,116,6.678044
20.0,164,8.755752
11.0,130,8.847815
9.0,102,8.9197
11.0,130,9.011392
12.0,140,9.110093
9.0,106,9.184793
0.0,6,9.189094
11.0,130,9.280964
20.0,164,9.396893
9.0,104,9.470119
3.0,38,9.496946
7.0,82,9.55473
20.0,164,9.670252
6.0,70,9.719615
1.0,16,9.730991
20.0,164,9.846685
5.0,62,9.890594
3.0,38,9.917543
8.0,90,9.981576
10.0,116,10.063771
