r,l
1357.78202,383
3465.072658,1000
2073.600947,571
1688.732862,466
1424.627191,397
950.093629,264
1137.309683,316
1273.147181,341
1574.274381,431
2793.064694,770
3213.168373,906
2505.002099,702
1310.701807,360
1784.317543,493
1739.168361,482
2761.514241,756
1058.696589,298
1792.259757,494
976.022753,268
1023.421393,293
2141.94316,595
1483.817285,412
1028.694923,287
2025.509197,558
990.514861,273
2444.298554,668
1302.876525,357
3438.080575,1000
1510.552648,409
3391.374964,1000
2210.908473,640
3428.340396,1000
3361.030563,1000
3477.787489,1000
3393.139906,1000
