r,l
1357.783074,383
3464.797066,1000
2073.599706,571
1629.568817,455
2212.692451,614
1094.382386,307
1260.136059,343
1329.224355,370
1327.674523,363
2169.820584,601
2930.860424,806
1071.457843,293
2445.182625,674
3384.966776,1000
2499.510645,695
3486.302901,1000
3328.47744,934
2479.783868,686
2464.876381,667
3479.690744,1000
1347.332828,373
1898.8376,511
1474.77656,399
1393.426966,380
1719.875562,477
1030.083652,286
2557.563193,702
2030.254531,559
1156.800264,321
3471.898498,1000
3401.69053,1000
3507.339316,1000
1973.072343,569
