r,l
1357.782359,383
3465.04339,1000
2073.599124,571
1616.580183,451
1972.433509,547
2475.617525,680
3266.825073,901
2061.787966,572
3446.074562,1000
1608.695192,443
1027.245095,288
1041.66498,291
1143.953543,317
1013.915625,286
1420.650673,386
1844.222665,502
3169.077209,873
2026.232906,561
1245.973817,334
859.654887,240
1038.115314,298
1598.561976,436
1330.347684,367
1039.288354,295
1311.415389,369
977.021706,279
1172.444632,322
985.391439,281
1316.774745,369
1046.588818,293
1018.283424,289
1028.059967,294
1610.949096,441
1164.058855,320
1008.535985,289
1940.667619,528
3152.376004,876
1341.831718,366
1950.880763,533
2305.718686,632
1633.003219,451
3241.70514,885
1449.683088,399
