r,l
1357.782359,383
3465.04339,1000
2073.599124,571
1615.634162,451
1911.195322,532
1230.071701,337
2169.707915,587
1626.834443,449
1389.581199,388
1974.086052,544
1558.695963,429
2503.542762,687
2807.417898,775
1599.25177,434
1099.017886,300
1106.581837,301
1914.107721,551
3109.957438,856
3459.539372,1000
3484.195924,1000
2033.602243,559
1099.38639,305
3461.497617,1000
1098.683732,303
1262.488618,350
1458.162306,393
3479.02398,1000
3421.602559,1000
3416.47332,1000
2957.133896,839
1968.27471,574
1811.616853,492
3487.338709,958
