r,l
1391.535687,392
947.210224,261
1297.660015,360
1302.219351,356
1310.660011,361
3399.918644,1000
1502.122829,414
3362.419218,1000
3410.506192,1000
883.084003,252
1131.913981,314
2332.269365,637
3411.005172,1000
1930.416767,538
3449.984026,1000
3417.515269,1000
3453.497149,1000
1219.089332,334
3528.84128,974
1278.858156,350
986.278151,278
1984.810926,543
2851.169211,789
2723.007655,755
3458.827173,1000
1020.615127,279
936.13629,259
990.889914,285
1017.619085,292
2780.938411,767
1372.222937,379
985.986672,282
576.708034,192
1249.795184,342
1212.012173,334
1177.242745,325
1309.183616,360
