r,l
1391.535528,392
947.210222,261
1297.660172,360
1302.219171,356
1310.660295,361
3448.190044,1000
1553.602112,427
2595.153889,715
3425.588471,1000
2754.853714,771
3414.885436,1000
3447.789014,1000
904.328086,247
3230.81363,890
1263.704872,345
3162.478899,872
1423.709996,387
840.720589,241
1012.015206,290
2045.73162,563
1048.102724,295
1001.500936,280
1879.358209,525
2936.458438,801
925.662207,263
1010.532161,288
990.584447,284
870.166128,245
963.712842,271
1655.163004,464
1187.579985,326
1912.403381,527
1250.694987,344
3428.128696,1000
1624.495128,444
1326.124585,370
971.888785,269
2835.579735,782
2096.885668,578
1093.101824,307
1008.557003,284
