r,l
1391.53568,392
947.210217,261
1297.660044,360
1302.219326,356
1310.660141,361
3404.362482,1000
1549.359014,425
1705.586623,469
1270.362012,345
1290.629154,356
3410.544466,1000
1412.552778,389
3460.915965,1000
2910.15103,822
1469.83274,405
3465.559482,1000
1516.925428,424
1112.847785,310
936.917583,262
1308.526651,361
2389.088819,661
1021.97032,281
1383.869084,380
2297.894713,637
1168.60118,322
2451.278048,676
3410.499985,1000
1667.237264,464
1225.387324,336
1637.191855,455
998.80317,280
1406.924171,393
927.191327,256
994.443811,289
986.158705,279
1014.25297,285
2773.564708,787
1964.665824,552
1414.428793,389
1653.368112,461
873.465709,244
1448.214588,397
