r,l
1357.782061,383
3465.094352,1000
2073.548891,571
1675.178663,466
1409.076208,394
939.706234,261
1243.841412,341
2738.339722,749
1193.125781,321
2415.73082,672
2210.823974,608
909.765307,254
1920.003336,526
2180.740738,603
2526.849158,690
1015.913429,282
2599.468631,716
2420.264682,660
2315.882335,652
1336.143615,367
3207.285521,888
1235.183017,337
2374.376914,669
1577.181168,435
1214.812223,330
1616.8285,448
1237.451611,344
1338.981437,375
1323.482706,367
2238.388026,620
1365.95001,378
1203.787398,323
1548.673239,422
1251.755549,340
1637.370594,445
1123.552657,313
1150.919518,319
1239.193063,336
1021.179935,284
1041.802615,284
1972.561465,547
1299.783831,352
2251.398248,619
