r,l
1357.781606,383
3464.844646,1000
2073.599948,571
1652.588027,459
2134.104078,577
1222.259069,339
1017.723514,289
1105.157769,298
1253.801481,345
1136.006337,316
1204.380789,329
1154.963771,314
2270.459742,632
1344.101548,378
2107.713274,576
3560.416149,1000
3403.064893,1000
1322.527491,359
2513.190962,686
2476.312774,679
1021.381477,291
1000.141485,276
1808.744859,499
2774.543016,764
1556.564133,427
1061.541811,294
1607.242581,445
1118.222462,309
1119.045568,307
1009.968008,285
1321.88995,361
3620.720334,1000
2263.497378,650
1232.788859,338
3458.830025,1000
2657.75226,732
3495.771849,1000
