r,l
1357.78253,383
3464.801649,1000
2073.599269,571
1617.91707,453
1935.954618,537
1306.684702,364
2005.12297,554
3003.197361,840
1377.91091,386
1460.515195,398
1042.807521,286
1032.416691,296
1411.72067,386
1082.489658,301
1610.0503,445
1648.596827,456
1778.666661,488
1540.283779,413
1285.871237,352
2136.845749,582
2484.268915,691
3428.813792,1000
2533.604018,702
2024.168728,562
971.584548,267
1120.411205,312
1012.209521,284
1010.020574,283
993.846946,278
3353.886757,922
3361.491281,949
1084.939989,294
3530.656298,1000
1053.647237,292
1245.682509,336
1948.677569,556
2313.643502,635
3469.651463,1000
