r,l
1357.782359,383
3465.043556,1000
2073.599124,571
1608.536185,450
1865.025375,529
1291.68702,350
1026.577072,295
1339.926832,361
1467.482189,407
2254.038929,624
947.003823,258
1322.147453,361
2229.050281,622
1840.951555,508
1341.011433,370
1172.032714,323
1440.278751,397
1699.090904,468
1376.831908,377
1671.944209,460
1356.133734,378
1747.117079,481
1395.280928,377
2554.823482,714
2320.759467,643
2846.057264,785
1720.888039,474
2440.124489,669
3577.20865,1000
1782.637171,492
2275.997094,623
3426.868033,948
3554.883612,976
2788.497255,774
3452.787977,1000
3595.933101,995
