r,l
1357.782359,383
3465.043415,1000
2073.599124,571
1608.381486,450
2077.77712,576
1186.990439,327
1564.424455,427
1918.785397,537
1887.769297,519
1346.757363,380
1655.408005,458
1332.950004,376
1139.192931,316
1084.88304,304
997.036199,286
1306.071458,371
927.457323,257
949.883775,270
1947.111912,535
1436.944307,398
1248.843766,346
1289.62509,367
1012.278185,275
1261.366199,344
1260.050761,337
1282.724797,347
1580.309067,431
1555.761516,438
1326.689965,367
1294.023824,353
2465.357677,672
3537.513787,1000
1633.393974,443
979.741203,267
1825.856907,500
1752.798155,484
2807.808472,780
2165.367726,623
1104.582052,304
1006.003825,284
1839.484886,505
1619.216572,440
1416.19958,393
3402.50676,987
