r,l
1357.783074,383
3464.796997,1000
2073.599706,571
1635.804497,456
2565.465344,716
1399.261354,389
2551.041449,712
1252.090023,348
1022.388945,291
909.491441,253
981.043368,269
1666.76952,460
1018.431324,284
3430.986529,1000
1016.727125,293
1423.200954,392
2264.614427,628
1913.809225,528
1297.058088,362
2157.946551,594
3495.134425,967
3486.723199,1000
3298.668013,918
2643.378487,724
979.133766,278
999.74299,281
1145.02372,315
1468.634208,406
3173.113482,886
1990.649855,554
3441.147424,1000
3447.568317,1000
2612.104604,724
1110.195462,311
1845.468295,506
