r,l
1391.535528,392
947.210222,261
1297.660172,360
1302.219171,356
1310.660295,361
3448.129723,1000
1553.568666,427
2595.239202,715
3446.681106,1000
1966.114632,541
3449.544499,1000
2601.670901,724
1199.488944,329
1852.556841,512
3426.388495,1000
1054.974547,295
2446.975214,693
1036.679661,284
1033.796184,296
1281.114264,358
1031.647835,286
1546.998798,426
2301.375468,641
1504.766932,413
1131.182833,314
1264.932009,357
910.01546,254
1406.476497,389
1789.682357,496
1083.581296,304
2175.571074,602
971.60185,276
1813.416694,494
3425.063788,1000
994.433086,280
1223.385378,334
1099.147156,305
1896.206474,524
1922.349329,536
3431.75914,1000
