r,l
1391.53568,392
947.210217,261
1297.660044,360
1302.219326,356
1310.660141,361
3405.419941,1000
1549.360704,425
1705.584753,469
1270.362312,345
1308.574255,361
3057.708568,854
3465.392106,966
3401.365311,1000
3411.984345,1000
1343.878498,375
1602.316914,454
1010.771184,289
1582.326418,421
1028.21663,290
1012.431228,293
3394.814446,1000
3442.73925,1000
2163.154022,596
3468.572056,1000
1613.406093,440
1405.625867,392
998.613055,276
1122.28884,307
1032.537483,291
1433.418374,392
1311.249731,356
1105.843621,301
1208.019841,330
2217.482348,622
2154.031791,591
1076.718375,303
1800.791176,517
1416.604594,384
1277.004622,346
