#{"t_start": 1772621152.8552082, "env_id": "Hopper-v5"}
r,l,t
1391.535528,392,0.237109
947.210222,261,0.36377
1297.660172,360,0.534348
1302.219171,356,0.703181
1310.660295,361,0.873305
3448.129723,1000,2.536816
1553.568666,427,2.73921
2595.239202,715,3.074657
3446.681106,1000,4.307906
1966.114632,541,4.561409
3449.544499,1000,5.816634
2601.670901,724,6.156973
1199.488944,329,6.311866
1852.556841,512,6.552179
3426.388495,1000,7.821867
1054.974547,295,7.962723
2446.975214,693,8.288557
1036.679661,284,9.219002
1033.796184,296,9.35878
1281.114264,358,9.527575
1031.647835,286,9.663989
1546.998798,426,9.863886
2301.375468,641,10.163059
1504.766932,413,11.160012
1131.182833,314,11.309223
1264.932009,357,11.480229
910.01546,254,11.601362
1406.476497,389,11.786035
1789.682357,496,12.83509
1083.581296,304,12.978212
2175.571074,602,13.261027
971.60185,276,13.393893
1813.416694,494,13.625833
3425.063788,1000,14.926247
994.433086,280,15.058981
1223.385378,334,15.216177
1099.147156,305,15.359509
1896.206474,524,16.475512
1922.349329,536,16.726442
3431.75914,1000,17.194732
