r,l
1391.535698,392
947.210214,261
1297.659972,360
1302.219458,356
1310.675082,361
3432.499757,1000
1964.315799,541
3440.008411,1000
2015.446749,558
2411.065777,665
2320.75999,635
1970.577945,550
1899.83965,531
1318.507438,360
999.460173,280
1552.590721,431
3426.083931,1000
3342.309486,1000
1439.40904,388
1080.652555,304
3507.891818,1000
2752.973245,761
1221.592786,330
1570.948725,428
1596.960513,433
3526.765258,975
1056.804554,294
1025.741628,288
1241.201176,340
1272.663848,346
1305.990895,363
1430.376142,387
3397.715199,1000
2925.717408,804
3172.100183,875
1048.203832,289
