r,l
1391.535528,392
947.210222,261
1297.660172,360
1302.219171,356
1310.660295,361
3448.167899,1000
1553.439592,427
2601.08571,716
3425.503098,1000
3428.736018,1000
3421.602665,1000
1255.570712,341
2755.261976,770
1652.036444,463
3433.060549,1000
1015.124397,281
3465.045805,1000
3500.989368,1000
2482.920567,716
1065.87547,296
3499.048626,1000
1234.580416,349
3106.497736,862
1389.253736,387
1585.391033,433
957.748033,257
2509.175151,708
1927.535038,532
1663.231647,455
1854.855433,512
953.458426,263
1233.759017,337
1708.330037,465
1008.791072,271
