,seed,perturbation,base_reward,perturbed_reward
0,0,1e-08,1840.283914464519,1840.2819333357672
1,0,4.641588833612782e-08,1840.283914464519,1840.274495954289
2,0,2.1544346900318822e-07,1840.283914464519,1840.2386156093216
3,0,1e-06,1840.283914464519,1841.9139294028769
4,0,4.641588833612773e-06,1840.283914464519,1553.2414297811417
5,0,2.1544346900318823e-05,1840.283914464519,1548.840583833143
6,0,0.0001,1840.283914464519,1557.3562242461303
7,0,0.00046415888336127724,1840.283914464519,1251.1871296084664
8,0,0.002154434690031882,1840.283914464519,1220.6737293840092
9,0,0.01,1840.283914464519,878.9083444435745
10,1,1e-08,2092.403482435857,2096.8693034733437
11,1,4.641588833612782e-08,2092.403482435857,2090.544784966696
12,1,2.1544346900318822e-07,2092.403482435857,2089.1981260971274
13,1,1e-06,2092.403482435857,2068.94810214033
14,1,4.641588833612773e-06,2092.403482435857,2086.1280167210916
15,1,2.1544346900318823e-05,2092.403482435857,1801.1438389501225
16,1,0.0001,2092.403482435857,1792.1498200146145
17,1,0.00046415888336127724,2092.403482435857,1523.4682152048908
18,1,0.002154434690031882,2092.403482435857,1232.6190269297756
19,1,0.01,2092.403482435857,938.0178456401765
20,2,1e-08,1543.862034705698,1543.860959548223
21,2,4.641588833612782e-08,1543.862034705698,1543.8570413608134
22,2,2.1544346900318822e-07,1543.862034705698,1543.8388145332988
23,2,1e-06,1543.862034705698,1542.9592443181689
24,2,4.641588833612773e-06,1543.862034705698,1544.2840986676472
25,2,2.1544346900318823e-05,1543.862034705698,1555.2993709802581
26,2,0.0001,1543.862034705698,1542.7560146737417
27,2,0.00046415888336127724,1543.862034705698,1236.4376817149032
28,2,0.002154434690031882,1543.862034705698,908.7614240932692
29,2,0.01,1543.862034705698,918.0328639663411
30,3,1e-08,2065.951219589433,2047.7402965993551
31,3,4.641588833612782e-08,2065.951219589433,2482.255895868499
32,3,2.1544346900318822e-07,2065.951219589433,2346.0736255888946
33,3,1e-06,2065.951219589433,1541.2860242119682
34,3,4.641588833612773e-06,2065.951219589433,1983.6540186201162
35,3,2.1544346900318823e-05,2065.951219589433,1550.1641509434978
36,3,0.0001,2065.951219589433,1831.9956398577979
37,3,0.00046415888336127724,2065.951219589433,1499.4102710806942
38,3,0.002154434690031882,2065.951219589433,1808.0546881828664
39,3,0.01,2065.951219589433,2430.419557804445
40,4,1e-08,2089.9882658727993,2086.584022128635
41,4,4.641588833612782e-08,2089.9882658727993,2076.6904528807586
42,4,2.1544346900318822e-07,2089.9882658727993,2069.0616311968165
43,4,1e-06,2089.9882658727993,2079.7213642148604
44,4,4.641588833612773e-06,2089.9882658727993,2076.8135213162755
45,4,2.1544346900318823e-05,2089.9882658727993,1557.3180317505678
46,4,0.0001,2089.9882658727993,1835.8716760231205
47,4,0.00046415888336127724,2089.9882658727993,1921.2798450397686
48,4,0.002154434690031882,2089.9882658727993,2071.9186784501303
49,4,0.01,2089.9882658727993,577.9179101614169
50,5,1e-08,2059.418378019577,2080.2994192815786
51,5,4.641588833612782e-08,2059.418378019577,2076.7044709425086
52,5,2.1544346900318822e-07,2059.418378019577,2270.655332734995
53,5,1e-06,2059.418378019577,1815.4398946381475
54,5,4.641588833612773e-06,2059.418378019577,1836.4414900675592
55,5,2.1544346900318823e-05,2059.418378019577,2174.170374376271
56,5,0.0001,2059.418378019577,2143.423559497074
57,5,0.00046415888336127724,2059.418378019577,1898.0070844862269
58,5,0.002154434690031882,2059.418378019577,2711.475502641374
59,5,0.01,2059.418378019577,1097.150149703484
60,6,1e-08,1557.1236372630178,1557.12358007584
61,6,4.641588833612782e-08,1557.1236372630178,1557.1233711570492
62,6,2.1544346900318822e-07,1557.1236372630178,1557.1223877462933
63,6,1e-06,1557.1236372630178,1557.1163961621503
64,6,4.641588833612773e-06,1557.1236372630178,1560.4298410724116
65,6,2.1544346900318823e-05,1557.1236372630178,1560.4215585469867
66,6,0.0001,1557.1236372630178,1558.1839728905063
67,6,0.00046415888336127724,1557.1236372630178,1814.6550081696544
68,6,0.002154434690031882,1557.1236372630178,1814.0891824668104
69,6,0.01,1557.1236372630178,1528.153318590972
70,7,1e-08,2108.338422540695,2107.384947512968
71,7,4.641588833612782e-08,2108.338422540695,2101.655878700093
72,7,2.1544346900318822e-07,2108.338422540695,2101.2421391948747
73,7,1e-06,2108.338422540695,2094.9298744740922
74,7,4.641588833612773e-06,2108.338422540695,2110.980371195556
75,7,2.1544346900318823e-05,2108.338422540695,1817.4364608559226
76,7,0.0001,2108.338422540695,2064.127889239058
77,7,0.00046415888336127724,2108.338422540695,3265.8443351900078
78,7,0.002154434690031882,2108.338422540695,1993.2018614203516
79,7,0.01,2108.338422540695,849.5549401911577
80,8,1e-08,2116.5221174867247,2122.3653695737007
81,8,4.641588833612782e-08,2116.5221174867247,2117.482566115743
82,8,2.1544346900318822e-07,2116.5221174867247,2111.5686727817283
83,8,1e-06,2116.5221174867247,2097.404972496597
84,8,4.641588833612773e-06,2116.5221174867247,1817.2417157105235
85,8,2.1544346900318823e-05,2116.5221174867247,2111.9206305002454
86,8,0.0001,2116.5221174867247,1793.2504354737248
87,8,0.00046415888336127724,2116.5221174867247,1513.7291439597777
88,8,0.002154434690031882,2116.5221174867247,1785.1829251945417
89,8,0.01,2116.5221174867247,1479.4804306230321
90,9,1e-08,1553.3682664335986,1553.3729939372506
91,9,4.641588833612782e-08,1553.3682664335986,1553.3882000084539
