seed,size,value
0,32,0.9136324524879456
0,64,0.10024141520261765
0,128,-0.3119049370288849
1,32,0.16985376179218292
1,64,-0.09380513429641724
1,128,0.46451669931411743
2,32,-0.952987551689148
2,64,0.201385498046875
2,128,-0.8583976030349731
3,32,-1.427785038948059
3,64,-0.6830353736877441
3,128,0.27356189489364624
4,32,-0.0955202504992485
4,64,0.3009360134601593
4,128,0.6097765564918518
5,32,-0.22152088582515717
5,64,0.24750013649463654
5,128,-0.037926334887742996
6,32,1.4399207830429077
6,64,-0.8493149876594543
6,128,2.0697293281555176
7,32,0.32889604568481445
7,64,0.1326543390750885
7,128,0.24941395223140717
8,32,-0.547829270362854
8,64,-0.07989942282438278
8,128,-1.3419591188430786
9,32,0.6952435970306396
9,64,-1.4374215602874756
9,128,0.48374491930007935
10,32,-1.5591658353805542
10,64,-0.7204662561416626
10,128,0.33113792538642883
11,32,-0.3735886812210083
11,64,0.05449898540973663
11,128,-0.6683319211006165
12,32,0.28146427869796753
12,64,0.34760773181915283
12,128,0.1656874418258667
13,32,0.5345561504364014
13,64,-1.291609764099121
13,128,-0.02702411636710167
14,32,0.7224332690238953
14,64,-0.15789274871349335
14,128,-1.0930134057998657
15,32,0.857109546661377
15,64,1.0178594589233398
15,128,0.780653178691864
16,32,0.7112390398979187
16,64,1.2418652772903442
16,128,-0.8912502527236938
17,32,-0.38478919863700867
17,64,0.32267192006111145
17,128,0.5193053483963013
18,32,0.1027926504611969
18,64,0.4099296033382416
18,128,0.4624882638454437
19,32,-0.2866029441356659
19,64,2.4134361743927
19,128,0.6114590764045715
20,32,1.1183480024337769
20,64,-0.3852028548717499
20,128,0.41751572489738464
21,32,-0.27379751205444336
21,64,2.0529725551605225
21,128,-0.6238163709640503
22,32,-0.7832159996032715
22,64,0.2878611087799072
22,128,0.24718345701694489
23,32,0.3245154023170471
23,64,0.5050279498100281
23,128,-0.7423311471939087
24,32,-0.7354958653450012
24,64,1.159259557723999
24,128,0.32631492614746094
25,32,0.1796179562807083
25,64,0.7927913069725037
25,128,1.1633741855621338
26,32,-1.5559595823287964
26,64,1.4906601905822754
26,128,-0.5452569723129272
27,32,0.16240544617176056
27,64,-0.3313215970993042
27,128,0.15191377699375153
28,32,0.17567741870880127
28,64,-0.23349183797836304
28,128,-0.8687639832496643
29,32,-0.042257681488990784
29,64,0.5580546855926514
29,128,1.2557791471481323
30,32,0.08416033536195755
30,64,0.7453960180282593
30,128,-1.4132745265960693
31,32,-0.7209698557853699
31,64,-0.577220618724823
31,128,0.39791518449783325
32,32,-1.100656270980835
32,64,0.5966623425483704
32,128,-0.16007015109062195
33,32,0.7056208252906799
33,64,-0.49583175778388977
33,128,-0.45301657915115356
34,32,-0.9387290477752686
34,64,-0.3878491520881653
34,128,-1.1071048974990845
35,32,-0.32167932391166687
35,64,0.37373021245002747
35,128,-1.0197285413742065
36,32,-0.9214260578155518
36,64,-1.249044418334961
36,128,1.2440685033798218
37,32,-0.021447982639074326
37,64,0.13609947264194489
37,128,-0.19018520414829254
38,32,0.6646551489830017
38,64,-0.770912766456604
38,128,0.0005133035010658205
39,32,-0.24698305130004883
39,64,-0.01526328083127737
39,128,-0.30913180112838745
40,32,-1.3945577144622803
40,64,-0.264933705329895
40,128,-0.6380103230476379
41,32,0.34960174560546875
41,64,-0.16328579187393188
41,128,1.23358952999115
42,32,0.838253378868103
42,64,0.19373154640197754
42,128,-0.1945878565311432
43,32,1.4426195621490479
43,64,-0.14509688317775726
43,128,0.31241756677627563
44,32,0.685553789138794
44,64,1.2282689809799194
44,128,-0.9320266842842102
45,32,0.19849137961864471
45,64,0.4945143759250641
45,128,-1.1535638570785522
46,32,-1.892777681350708
46,64,-0.6939871311187744
46,128,-0.02527989074587822
47,32,0.2805824279785156
47,64,-0.4611232578754425
47,128,1.282565712928772
48,32,-0.18991202116012573
48,64,0.407561331987381
48,128,0.09558191895484924
49,32,1.2165844440460205
49,64,-1.0622612237930298
49,128,-0.8078225255012512
50,32,0.6198268532752991
50,64,0.8891637921333313
50,128,0.47698715329170227
51,32,0.6645176410675049
51,64,-0.6847252249717712
51,128,0.5007439255714417
52,32,0.13042239844799042
52,64,0.7750877141952515
52,128,-0.20557889342308044
53,32,0.874068021774292
53,64,-0.5329039692878723
53,128,-0.43478500843048096
54,32,-0.6929568648338318
54,64,0.5379263162612915
54,128,-0.9829639792442322
55,32,0.4050484001636505
55,64,0.5948693156242371
55,128,0.24005469679832458
56,32,1.4427188634872437
56,64,-1.2362992763519287
56,128,1.0675058364868164
57,32,-0.8379194140434265
57,64,1.0226267576217651
57,128,0.19297415018081665
58,32,1.8026721477508545
58,64,0.7917008996009827
58,128,-0.9213383793830872
59,32,-0.09411762654781342
59,64,0.40291666984558105
59,128,-0.9864344000816345
60,32,-0.08999616652727127
60,64,0.48473110795021057
60,128,-0.6095712780952454
61,32,-1.5288474559783936
61,64,-0.6822377443313599
61,128,-0.6338067650794983
62,32,0.1646280437707901
62,64,0.23376119136810303
62,128,0.36570435762405396
63,32,0.6990525126457214
63,64,0.9961497783660889
63,128,1.3294941186904907
64,32,0.0710783526301384
64,64,-0.7300933003425598
64,128,-0.5476977825164795
65,32,0.18660816550254822
65,64,-0.1201467216014862
65,128,-1.0110883712768555
66,32,0.12177005410194397
66,64,-0.43218496441841125
66,128,-0.8623010516166687
67,32,-0.48229533433914185
67,64,-0.8547322750091553
67,128,1.0639197826385498
68,32,0.14902111887931824
68,64,-0.045984528958797455
68,128,-0.6798486113548279
69,32,-0.15522290766239166
69,64,-0.38638877868652344
69,128,0.8885378241539001
70,32,-0.30224722623825073
70,64,-0.7338089346885681
70,128,0.23922358453273773
71,32,0.7081373333930969
71,64,0.14459601044654846
71,128,-0.5753230452537537
72,32,-0.8756425976753235
72,64,-0.1515835076570511
72,128,1.382991075515747
73,32,0.3592042326927185
73,64,0.23469772934913635
73,128,0.8016999363899231
74,32,-0.13214223086833954
74,64,0.4063636064529419
74,128,1.508500576019287
75,32,-0.76969313621521
75,64,-1.380583643913269
75,128,-1.3808152675628662
76,32,1.801737666130066
76,64,-0.584336519241333
76,128,-0.0378170982003212
77,32,2.0605554580688477
77,64,1.0643993616104126
77,128,0.8193063735961914
78,32,0.06965530663728714
78,64,0.2570229768753052
78,128,0.916527509689331
79,32,0.982850193977356
79,64,1.3334581851959229
79,128,0.007467948831617832
80,32,-0.6060572862625122
80,64,0.44137048721313477
80,128,0.09689336270093918
81,32,0.4823005497455597
81,64,0.8841813802719116
81,128,-1.5458643436431885
82,32,-0.6380148530006409
82,64,0.7804504036903381
82,128,-0.039288803935050964
83,32,0.7247994542121887
83,64,0.037951141595840454
83,128,1.356934905052185
84,32,0.43786385655403137
84,64,1.9259564876556396
84,128,-0.6153309941291809
85,32,-0.9527685642242432
85,64,-0.04234228655695915
85,128,-0.170739084482193
86,32,1.7554869651794434
